[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S11_click_calculatePaymentsButton,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
