[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S11_submit_submitButton,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1
