[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S14_type_description,S8c3_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
