[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_1,S10_click_calculatePaymentsButton,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
