[coverage strength]
2
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S8c3_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
