[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S11_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
